Transect,State,Locality,Code,ID_mouse,Sex,Species,Year,Capture,Dissection,Head taken?,Ectoparasites,Body_weight,Body_length,Tail_length,Liver_mass,Spleen_mass,Testis_mass,Left epididymis weight,Seminal vesicle weight,Worms_presence,Worms_count,Worms_collection,Worms_location,Worms_species,Syphacia,aspicularis,mastophorus (“ascaris”),tenia,trichuris,Liver,Spleen,Fecal_sample,Small_int_content,Small_int_content,Cecum_content,Cecum_wall,Colon_content,Colon_wall,Mesentery,Embryo,Notes
HZ_BR,Germany,,E_ZEH8,AA_0117,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,FALSE,11.378,65,73,NA,19,NA,NA,NA,TRUE,16,DESS and formalin,Cecum (9) colon (7),syphacia,16,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_ZEH8,AA_0118,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,fleas,12.73,83,76,NA,31,NA,NA,NA,TRUE,228,DESS and formalin,Cecum (21 tenia and syphacia) colon (207),syphacia,217,0,10,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_ZEH8,AA_0119,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,fleas,13.96,73,73,NA,0.02,NA,NA,NA,TRUE,3,formalin,colon,syphacia,3,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_KIR1,AA_0120,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,fleas,15.73,84,74,NA,42,NA,NA,NA,TRUE,143,DESS and formalin,Cecum (45) colon (98),syphacia,143,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_KIR1,AA_0121,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,21.55,94,71,NA,43,NA,NA,NA,TRUE,51,DESS and formalin,Cecum (3) colon (48),syphacia,51,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_ZEH8,AA_0122,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,FALSE,11.23,71,72,NA,0.03,NA,NA,NA,TRUE,60,DESS and formalin,Cecum (17) colon (43),aspicularis and syphacia,30,30,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_MIL1,AA_0123,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,16.351,80,81,NA,48,NA,NA,NA,TRUE,2,formalin,cecum,syphacia,2,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_MIL1,AA_0124,female,mus musculus,2016,25.09.2016,27.09.2016,TRUE,fleas,8.381,63,66,NA,11,NA,NA,NA,TRUE,7,DESS  ,cecum,syphacia,7,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_MIL1,AA_0125,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,15.57,72,85,NA,28,NA,NA,NA,TRUE,6,formalin,Cecum (4 trichuris) colon (2),trichuris and syphacia,2,0,0,0,4,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_KI13,AA_0126,female,mus musculus,2016,26.09.2016,27.09.2016,TRUE,FALSE,11.784,72,78,NA,24,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_RIB8,AA_0127,male,mus musculus,2016,26.09.2016,27.09.2016,TRUE,fleas,17.7,88,80,NA,39,0.079/0.080,0.02,65,TRUE,8,DESS and formalin,cecum,syphacia,8,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_ALTE,AA_0128,male,mus musculus,2016,26.09.2016,27.09.2016,TRUE,fleas,10.008,67,60,NA,17,0.047/0.051,11,24,TRUE,5,DESS  ,cecum,syphacia,5,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_RIB8,AA_0129,female,mus musculus,2016,26.09.2016,28.09.2016,TRUE,fleas,21.588,86,89,NA,47,NA,NA,NA,TRUE,80,DESS and formalin,Cecum (69 syphacia and aspicu) colon (11),syphacia and aspicularis,46,35,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_EGS7,AA_0130,female,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,12.38,72,75,NA,21,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_EGS7,AA_0131,male,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,10.634,65,70,NA,9,0.039/0.044,6,5,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_EGS7,AA_0132,male,mus musculus,2016,26.09.2016,28.09.2016,TRUE,fleas,20.25,85,86,NA,43,0.075/0.078,32,297,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_GUTS,AA_0133,male,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,17.374,87,89,NA,21,0.088/0.089,39,148,TRUE,1,formalin,cecum,syphacia,1,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_EGS7,AA_0134,female (pregnant),mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,19.85,82,75,NA,0.03,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_EGS7,AA_0135,male,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,17.561,82,84,NA,46,0.081/0.073,26,175,FALSE,1,formalin,colon,tichuris  ,0,0,0,0,1,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_KI13,AA_0136,male (young),mus musculus,2016,26.09.2016,28.09.2016,TRUE,fleas,6.063,59,57,NA,11,0.008/0.010,2,5,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_KI13,AA_0137,female,mus musculus,2016,26.09.2016,28.09.2016,TRUE,FALSE,17.73,80,84,NA,0.03,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_STE1,AA_0138,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,fleas,17.62,90,79,NA,23,NA,NA,NA,TRUE,55,DESS and formalin,Cecum (27) colon (28),syphacia,55,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_ANDE,AA_0139,male,mus musculus,2016,27.09.2016,28.09.2016,TRUE,fleas,9.8,64,56,NA,14,0.023/0.025,4,3,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_WILM,AA_0140,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,FALSE,19.01,84,77,NA,53,NA,NA,NA,TRUE,78,DESS and formalin,Cecum (9) colon (69),syphacia,78,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_WILM,AA_0141,male,mus musculus,2016,27.09.2016,28.09.2016,TRUE,FALSE,12.47,74,72,NA,0.04,0.049/0.052,15,21,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_WILM,AA_0142,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,FALSE,16.152,82,78,NA,63,NA,NA,NA,TRUE,180,DESS and formalin,Cecum (15) colon (165),syphacia,180,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_MU14,AA_0143,male,mus musculus,2016,27.09.2016,28.09.2016,TRUE,fleas,11.986,NA,NA,NA,25,0.026/0.031,11,0.01,TRUE,13,DESS and formalin,Cecum (12) colon (1),syphacia,13,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_LUDE,AA_0144,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,fleas,15.83,82,72,NA,42,NA,NA,NA,TRUE,22,DESS and formalin,small intestine (1 tenia) cecum (1 trichuris 1 syphacia) colon (20 syphacia),tenia and trichuris and syphacia,21,0,1,0,1,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_WRI6,AA_0145,female,mus musculus,2016,27.09.2016,28.09.2016,TRUE,FALSE,11.39,80,74,NA,24,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,20h35,E_DU19,AA_0146,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,20.668,83,82,NA,15,0.062/0.059,22,171,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_LUCK,AA_0147,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,15.51,76,86,NA,36,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0148,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,12.05,69,78,NA,39,0.024/0.027,5,7,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_LUCK,AA_0149,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,10.816,69,73,NA,22,NA,NA,NA,TRUE,10,DESS and formalin,cecum,syphacia,10,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0150,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,21.245,85,85,NA,35,0.058/0.059,23,107,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0151,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,19.01,85,87,NA,31,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0152,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,13.75,75,81,NA,17,0.058/0.059,12,33,TRUE,45,DESS  ,cecum,syphacia,45,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0153,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,13.03,75,75,NA,31,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0154,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,17.37,80,83,NA,51,0.016/0.018,13,118,TRUE,13,DESS and formalin,Cecum (4 trichuris 7 sphacia) colon (2 trichuris),syphacia and trichuris muris,7,0,0,0,6,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0155,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,14.96,78,85,NA,27,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0156,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,21.269,90,85,NA,46,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0157,male (young),mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,11.63,69,77,NA,22,0.021/0.021,3,2,TRUE,4,DESS  ,cecum,syphacia,4,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0158,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,20.54,90,84,NA,53,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0159,female (pregnant),mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,26.38,89,85,NA,64,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DU19,AA_0160,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,20.26,86,78,NA,41,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DORW,AA_0161,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,15.565,80,85,NA,32,NA,NA,NA,TRUE,3,formalin,cecum,syphacia,3,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DORW,AA_0162,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,16.28,82,82,NA,37,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DORW,AA_0163,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,13.89,80,75,NA,45,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0164,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,14.46,80,80,NA,NA,0.066/0.066,23,81,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0165,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,11.39,73,81,NA,27,NA,NA,NA,FALSE,0,NA,NA,NA,0,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0166,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,16.418,84,84,NA,33,0.103/0.096,26,151,TRUE,4,formalin,cecum,syphacia,4,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0167,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,18.09,89,81,NA,38,NA,NA,NA,TRUE,28,DESS and formalin,small intestine (1) cecum (25) colon (2),syphacia,28,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0168,female (pregnant),mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,11.83,70,75,NA,0.05,NA,NA,NA,TRUE,18,DESS  ,cecum,syphacia,18,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0169,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,17.1,81,80,NA,33,0.064/0.068,18,68,TRUE,4,formalin,cecum,syphacia,4,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0170,female (pregnant),mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,21.551,86,90,NA,41,NA,NA,NA,TRUE,9,DESS and formalin,cecum,syphacia,9,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0171,male,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,20.567,84,90,NA,0.04,0.075/0.077,24,122,TRUE,2,formalin,Cecum (1) colon (1),syphacia,2,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0172,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,19.85,89,82,NA,39,NA,NA,NA,TRUE,34,DESS and formalin,cecum,syphacia,34,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_DOB1,AA_0173,male,mus musculus,2016,28.09.2016,30.09.2016,TRUE,fleas,17.61,83,70,NA,0.09,0.07/0.067,16,111,TRUE,67,DESS and formalin,small intestine (1 tenia) cecum (17 syphacia) colon (49 syphacia),tenia and syphacia,66,0,0,1,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,"very small stomach, light MES, light liver, light kidney"
HZ_BR,Germany,,E_HIND,AA_0174,female (pregnant),mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,28.14,85,83,NA,27,NA,NA,NA,TRUE,46,DESS and formalin,cecum,syphacia,46,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
HZ_BR,Germany,,E_HIND,AA_0175,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,15.9,81,80,NA,0.04,NA,NA,NA,TRUE,5,formalin,cecum,syphacia,5,0,0,0,0,in alcohol X2,in liq nitrogenX1 + in alcoholX1,in K2Cr2O24,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,in liq nitrogen + formalin,in liq nitrogen,,
